X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.78226,40.3216,0,0,217,,,,,TP218,,,,,,,,,,,,,,,,,,
-3.78235,40.32153,0,0,218,,,,,TP219,,,,,,,,,,,,,,,,,,
-3.78238,40.32151,0,0,219,,,,,TP220,,,,,,,,,,,,,,,,,,
-3.78242,40.32148,0,0,220,,,,,TP221,,,,,,,,,,,,,,,,,,
-3.78242,40.32147,0,0,221,,,,,TP222,,,,,,,,,,,,,,,,,,
-3.78244,40.32146,0,0,222,,,,,TP223,,,,,,,,,,,,,,,,,,
-3.78247,40.32143,0,0,223,,,,,TP224,,,,,,,,,,,,,,,,,,
-3.7825,40.32141,0,0,224,,,,,TP225,,,,,,,,,,,,,,,,,,
-3.78268,40.3213,0,0,225,,,,,TP226,,,,,,,,,,,,,,,,,,
-3.78269,40.3213,0,0,226,,,,,TP227,,,,,,,,,,,,,,,,,,
-3.78273,40.32128,0,0,227,,,,,TP228,,,,,,,,,,,,,,,,,,
-3.78279,40.32127,0,0,228,,,,,TP229,,,,,,,,,,,,,,,,,,
-3.78291,40.32124,0,0,229,,,,,TP230,,,,,,,,,,,,,,,,,,
-3.78298,40.32124,0,0,230,,,,,TP231,,,,,,,,,,,,,,,,,,
-3.78304,40.32124,0,0,231,,,,,TP232,,,,,,,,,,,,,,,,,,
-3.78307,40.32124,0,0,232,,,,,TP233,,,,,,,,,,,,,,,,,,
-3.78316,40.32125,0,0,233,,,,,TP234,,,,,,,,,,,,,,,,,,
-3.7832,40.32125,0,0,234,,,,,TP235,,,,,,,,,,,,,,,,,,
-3.78322,40.32126,0,0,235,,,,,TP236,,,,,,,,,,,,,,,,,,
-3.78326,40.32127,0,0,236,,,,,TP237,,,,,,,,,,,,,,,,,,
-3.78335,40.3213,0,0,237,,,,,TP238,,,,,,,,,,,,,,,,,,
